instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,weather_name,year_name,weekday_name,temp_c,atemp_c,hum_pct,windspeed_kmh,temp_group
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Summer,Mist/Cloudy,2011,Thu,21.76,25.54,82.96,7.25,Mild (12-22°C)
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Summer,Clear/Partly Cloudy,2011,Fri,22.0,26.45,71.96,8.38,Mild (12-22°C)
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Summer,Clear/Partly Cloudy,2011,Sat,24.7,28.6,62.67,8.08,Warm (>22°C)
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Summer,Clear/Partly Cloudy,2011,Sun,24.77,28.72,74.96,9.92,Warm (>22°C)
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Summer,Mist/Cloudy,2011,Mon,25.9,29.51,81.0,15.67,Warm (>22°C)
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Summer,Mist/Cloudy,2011,Tue,27.06,30.24,74.08,13.88,Warm (>22°C)
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Summer,Clear/Partly Cloudy,2011,Wed,27.09,30.78,69.62,10.33,Warm (>22°C)
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Summer,Clear/Partly Cloudy,2011,Thu,29.04,32.73,67.75,13.38,Warm (>22°C)
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Summer,Clear/Partly Cloudy,2011,Fri,27.95,31.85,65.38,16.13,Warm (>22°C)
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Summer,Clear/Partly Cloudy,2011,Sat,26.89,30.62,72.96,15.42,Warm (>22°C)
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Summer,Clear/Partly Cloudy,2011,Sun,27.37,30.78,81.88,14.33,Warm (>22°C)
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Summer,Clear/Partly Cloudy,2011,Mon,30.07,33.55,68.5,8.79,Warm (>22°C)
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Summer,Clear/Partly Cloudy,2011,Tue,31.78,36.27,63.67,7.46,Warm (>22°C)
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Summer,Mist/Cloudy,2011,Wed,31.33,36.05,67.71,13.88,Warm (>22°C)
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Summer,Clear/Partly Cloudy,2011,Thu,29.32,32.2,30.5,19.58,Warm (>22°C)
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Summer,Clear/Partly Cloudy,2011,Fri,25.42,29.36,35.42,16.96,Warm (>22°C)
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Summer,Clear/Partly Cloudy,2011,Sat,26.04,29.73,45.62,8.25,Warm (>22°C)
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Summer,Mist/Cloudy,2011,Sun,26.58,30.84,65.25,9.29,Warm (>22°C)
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Summer,Clear/Partly Cloudy,2011,Mon,27.81,31.09,60.0,8.17,Warm (>22°C)
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Summer,Clear/Partly Cloudy,2011,Tue,29.01,32.8,59.79,12.58,Warm (>22°C)
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Summer,Clear/Partly Cloudy,2011,Wed,31.81,36.36,62.21,9.17,Warm (>22°C)
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Summer,Mist/Cloudy,2011,Thu,33.14,37.88,56.83,10.04,Warm (>22°C)
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Summer,Clear/Partly Cloudy,2011,Fri,30.96,35.16,60.5,9.42,Warm (>22°C)
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Summer,Clear/Partly Cloudy,2011,Sat,29.72,33.9,65.46,10.37,Warm (>22°C)
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Summer,Clear/Partly Cloudy,2011,Sun,28.39,32.17,74.79,10.96,Warm (>22°C)
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Summer,Clear/Partly Cloudy,2011,Mon,26.04,30.08,49.46,20.46,Warm (>22°C)
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Summer,Clear/Partly Cloudy,2011,Tue,24.77,29.58,50.71,18.04,Warm (>22°C)
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Summer,Clear/Partly Cloudy,2011,Wed,25.69,29.39,47.17,11.25,Warm (>22°C)
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Summer,Mist/Cloudy,2011,Thu,25.76,29.77,68.83,13.83,Warm (>22°C)
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Summer,Clear/Partly Cloudy,2011,Fri,26.62,30.02,73.58,9.58,Warm (>22°C)
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Summer,Clear/Partly Cloudy,2011,Sat,28.56,32.2,67.04,8.0,Warm (>22°C)
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Summer,Mist/Cloudy,2011,Sun,28.67,32.29,66.67,6.83,Warm (>22°C)
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Summer,Mist/Cloudy,2011,Mon,26.04,29.77,74.62,10.42,Warm (>22°C)
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Fall,Mist/Cloudy,2011,Tue,27.91,31.88,77.04,11.46,Warm (>22°C)
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Fall,Clear/Partly Cloudy,2011,Wed,30.07,34.69,70.75,11.54,Warm (>22°C)
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Fall,Mist/Cloudy,2011,Thu,29.86,34.69,70.33,16.0,Warm (>22°C)
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Fall,Clear/Partly Cloudy,2011,Fri,29.69,32.83,57.33,14.88,Warm (>22°C)
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Fall,Clear/Partly Cloudy,2011,Sat,28.49,32.17,48.33,14.04,Warm (>22°C)
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Fall,Clear/Partly Cloudy,2011,Sun,27.88,31.88,51.33,6.33,Warm (>22°C)
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Fall,Mist/Cloudy,2011,Mon,27.98,31.85,65.83,7.21,Warm (>22°C)
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Fall,Clear/Partly Cloudy,2011,Tue,30.51,34.63,63.42,9.67,Warm (>22°C)
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Fall,Clear/Partly Cloudy,2011,Wed,29.86,32.73,49.79,17.54,Warm (>22°C)
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,Fall,Clear/Partly Cloudy,2011,Thu,28.56,31.85,43.42,12.42,Warm (>22°C)
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,Fall,Clear/Partly Cloudy,2011,Fri,29.62,32.61,39.62,6.87,Warm (>22°C)
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,Fall,Clear/Partly Cloudy,2011,Sat,30.27,33.37,44.46,7.71,Warm (>22°C)
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,Fall,Mist/Cloudy,2011,Sun,29.38,33.43,68.25,15.33,Warm (>22°C)
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,Fall,Mist/Cloudy,2011,Mon,29.79,33.27,63.79,5.46,Warm (>22°C)
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,Fall,Clear/Partly Cloudy,2011,Tue,30.61,34.82,59.04,8.46,Warm (>22°C)
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,Fall,Clear/Partly Cloudy,2011,Wed,29.52,34.28,74.33,10.04,Warm (>22°C)
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,Fall,Clear/Partly Cloudy,2011,Thu,30.75,34.34,65.12,10.67,Warm (>22°C)
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,Fall,Mist/Cloudy,2011,Fri,29.08,33.52,75.79,15.08,Warm (>22°C)
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,Fall,Clear/Partly Cloudy,2011,Sat,30.07,33.21,60.92,11.25,Warm (>22°C)
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,Fall,Clear/Partly Cloudy,2011,Sun,30.65,34.5,57.83,12.29,Warm (>22°C)
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,Fall,Clear/Partly Cloudy,2011,Mon,31.26,36.49,63.58,18.92,Warm (>22°C)
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,Fall,Clear/Partly Cloudy,2011,Tue,32.56,36.96,55.92,13.42,Warm (>22°C)
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,Fall,Clear/Partly Cloudy,2011,Wed,30.61,34.47,63.17,9.79,Warm (>22°C)
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,Fall,Clear/Partly Cloudy,2011,Thu,27.91,31.76,47.62,16.12,Warm (>22°C)
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,Fall,Clear/Partly Cloudy,2011,Fri,27.2,31.22,59.13,12.25,Warm (>22°C)
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,Fall,Clear/Partly Cloudy,2011,Sat,28.15,31.91,58.5,13.96,Warm (>22°C)
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,Fall,Clear/Partly Cloudy,2011,Sun,29.49,33.49,60.42,16.42,Warm (>22°C)
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,Fall,Clear/Partly Cloudy,2011,Mon,30.61,35.2,65.12,14.46,Warm (>22°C)
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,Fall,Clear/Partly Cloudy,2011,Tue,31.84,37.37,65.04,8.75,Warm (>22°C)
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,Fall,Clear/Partly Cloudy,2011,Wed,31.5,37.34,70.71,7.63,Warm (>22°C)
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,Fall,Mist/Cloudy,2011,Thu,33.42,41.32,69.12,14.88,Warm (>22°C)
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,Fall,Clear/Partly Cloudy,2011,Fri,34.78,42.04,58.04,8.92,Warm (>22°C)
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,Fall,Clear/Partly Cloudy,2011,Sat,34.82,40.21,50.0,8.79,Warm (>22°C)
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,Fall,Clear/Partly Cloudy,2011,Sun,34.03,39.74,55.08,11.33,Warm (>22°C)
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,Fall,Clear/Partly Cloudy,2011,Mon,30.48,36.05,75.71,6.08,Warm (>22°C)
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,Fall,Clear/Partly Cloudy,2011,Tue,31.64,34.85,54.08,13.42,Warm (>22°C)
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,Fall,Clear/Partly Cloudy,2011,Wed,31.78,34.53,40.29,12.29,Warm (>22°C)
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,Fall,Clear/Partly Cloudy,2011,Thu,31.95,36.99,58.33,11.96,Warm (>22°C)
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,Fall,Clear/Partly Cloudy,2011,Fri,34.37,39.3,54.25,11.67,Warm (>22°C)
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,Fall,Clear/Partly Cloudy,2011,Sat,32.97,36.43,46.58,11.29,Warm (>22°C)
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,Fall,Clear/Partly Cloudy,2011,Sun,33.04,36.49,48.08,11.04,Warm (>22°C)
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,Fall,Clear/Partly Cloudy,2011,Mon,31.64,35.16,55.08,10.5,Warm (>22°C)
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,Fall,Clear/Partly Cloudy,2011,Tue,32.12,35.35,49.12,13.79,Warm (>22°C)
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,Fall,Mist/Cloudy,2011,Wed,30.0,34.0,65.75,9.08,Warm (>22°C)
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,Fall,Mist/Cloudy,2011,Thu,29.11,33.24,75.75,13.21,Warm (>22°C)
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,Fall,Clear/Partly Cloudy,2011,Fri,29.14,32.83,63.08,12.37,Warm (>22°C)
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,Fall,Mist/Cloudy,2011,Sat,29.38,33.81,75.5,15.29,Warm (>22°C)
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,Fall,Clear/Partly Cloudy,2011,Sun,30.44,35.76,75.29,13.5,Warm (>22°C)
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,Fall,Clear/Partly Cloudy,2011,Mon,31.36,35.16,59.21,12.88,Warm (>22°C)
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,Fall,Clear/Partly Cloudy,2011,Tue,31.78,36.21,57.04,10.13,Warm (>22°C)
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,Fall,Clear/Partly Cloudy,2011,Wed,31.43,34.25,42.42,13.42,Warm (>22°C)
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,Fall,Clear/Partly Cloudy,2011,Thu,29.42,32.58,42.38,11.04,Warm (>22°C)
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,Fall,Clear/Partly Cloudy,2011,Fri,29.04,32.7,41.5,8.42,Warm (>22°C)
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,Fall,Mist/Cloudy,2011,Sat,28.12,32.29,72.96,14.17,Warm (>22°C)
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,Fall,Mist/Cloudy,2011,Sun,27.74,31.22,81.75,14.92,Warm (>22°C)
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,Fall,Clear/Partly Cloudy,2011,Mon,27.3,30.81,71.21,14.0,Warm (>22°C)
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,Fall,Clear/Partly Cloudy,2011,Tue,28.73,32.29,57.83,15.83,Warm (>22°C)
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,Fall,Clear/Partly Cloudy,2011,Wed,29.66,33.33,57.54,9.63,Warm (>22°C)
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,Fall,Clear/Partly Cloudy,2011,Thu,29.18,33.11,65.46,15.62,Warm (>22°C)
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,Fall,Mist/Cloudy,2011,Fri,28.08,31.66,72.29,9.33,Warm (>22°C)
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,Fall,Clear/Partly Cloudy,2011,Sat,28.6,32.45,67.42,7.0,Warm (>22°C)
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,Fall,Clear/Partly Cloudy,2011,Sun,29.14,33.78,77.0,16.67,Warm (>22°C)
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,Fall,Clear/Partly Cloudy,2011,Mon,28.36,31.91,47.0,18.54,Warm (>22°C)
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,Fall,Clear/Partly Cloudy,2011,Tue,26.27,30.3,45.54,9.83,Warm (>22°C)
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,Fall,Clear/Partly Cloudy,2011,Wed,27.61,31.53,60.5,16.96,Warm (>22°C)
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,Fall,Mist/Cloudy,2011,Thu,28.05,32.29,77.17,14.13,Warm (>22°C)
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,Fall,Clear/Partly Cloudy,2011,Fri,28.7,32.99,76.12,5.63,Warm (>22°C)
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,Fall,Mist/Cloudy,2011,Sat,27.88,31.78,85.0,25.17,Warm (>22°C)
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,Fall,Clear/Partly Cloudy,2011,Sun,28.99,32.4,56.18,20.41,Warm (>22°C)
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,Fall,Clear/Partly Cloudy,2011,Mon,26.1,30.4,55.46,10.71,Warm (>22°C)
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,Fall,Clear/Partly Cloudy,2011,Tue,26.21,29.74,54.83,8.38,Warm (>22°C)
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,Fall,Clear/Partly Cloudy,2011,Wed,26.92,30.56,59.79,5.58,Warm (>22°C)
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,Fall,Clear/Partly Cloudy,2011,Thu,26.86,30.75,63.92,9.5,Warm (>22°C)
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,Fall,Mist/Cloudy,2011,Fri,26.38,30.24,72.71,9.38,Warm (>22°C)
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,Fall,Clear/Partly Cloudy,2011,Sat,27.44,31.66,71.67,12.42,Warm (>22°C)
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,Fall,Clear/Partly Cloudy,2011,Sun,29.08,33.27,74.21,13.83,Warm (>22°C)
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,Fall,Mist/Cloudy,2011,Mon,27.61,31.28,79.04,14.25,Warm (>22°C)
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,Fall,Light Snow/Rain,2011,Tue,22.14,25.76,88.7,23.04,Warm (>22°C)
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,Fall,Light Snow/Rain,2011,Wed,24.57,27.21,91.71,6.5,Warm (>22°C)
251,2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,Fall,Light Snow/Rain,2011,Thu,25.99,27.77,93.96,12.91,Warm (>22°C)
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,Fall,Mist/Cloudy,2011,Fri,26.65,28.95,89.79,8.33,Warm (>22°C)
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,Fall,Clear/Partly Cloudy,2011,Sat,27.06,30.4,75.38,10.29,Warm (>22°C)
254,2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,Fall,Clear/Partly Cloudy,2011,Sun,26.79,30.46,71.38,7.71,Warm (>22°C)
255,2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,Fall,Clear/Partly Cloudy,2011,Mon,26.42,30.11,69.22,5.96,Warm (>22°C)
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,Fall,Clear/Partly Cloudy,2011,Tue,26.68,30.18,71.25,9.5,Warm (>22°C)
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,Fall,Clear/Partly Cloudy,2011,Wed,27.61,31.34,69.71,11.21,Warm (>22°C)
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,Fall,Mist/Cloudy,2011,Thu,23.68,27.68,70.92,18.17,Warm (>22°C)
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,Fall,Mist/Cloudy,2011,Fri,19.24,23.07,59.04,11.0,Mild (12-22°C)
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,Fall,Mist/Cloudy,2011,Sat,20.16,23.93,71.83,12.71,Mild (12-22°C)
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,Fall,Clear/Partly Cloudy,2011,Sun,20.81,24.53,69.5,11.96,Mild (12-22°C)
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,Fall,Mist/Cloudy,2011,Mon,22.52,26.48,69.0,10.17,Warm (>22°C)
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,Fall,Mist/Cloudy,2011,Tue,23.03,26.61,88.12,9.04,Warm (>22°C)
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,Fall,Mist/Cloudy,2011,Wed,24.4,27.53,90.0,6.46,Warm (>22°C)
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,Fall,Mist/Cloudy,2011,Thu,25.76,27.75,90.21,8.58,Warm (>22°C)
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,Winter,Mist/Cloudy,2011,Fri,24.98,26.11,97.25,5.25,Warm (>22°C)
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,Winter,Mist/Cloudy,2011,Sat,24.87,28.22,86.25,5.25,Warm (>22°C)
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,Winter,Mist/Cloudy,2011,Sun,26.0,28.63,84.5,3.38,Warm (>22°C)
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,Winter,Mist/Cloudy,2011,Mon,26.62,29.45,84.83,7.42,Warm (>22°C)
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,Winter,Mist/Cloudy,2011,Tue,26.1,28.73,88.54,7.92,Warm (>22°C)
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,Winter,Mist/Cloudy,2011,Wed,26.04,28.76,84.88,9.96,Warm (>22°C)
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,Winter,Clear/Partly Cloudy,2011,Thu,25.28,28.73,69.92,11.58,Warm (>22°C)
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,Winter,Clear/Partly Cloudy,2011,Fri,23.13,27.24,64.75,13.83,Warm (>22°C)
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,Winter,Mist/Cloudy,2011,Sat,16.81,20.64,75.38,19.58,Mild (12-22°C)
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,Winter,Mist/Cloudy,2011,Sun,14.62,17.27,79.17,14.87,Mild (12-22°C)
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,Winter,Mist/Cloudy,2011,Mon,15.75,19.6,76.08,5.58,Mild (12-22°C)
